Week,Total cases,Current cases,Hospitalized,Dead
2020-w47,529.810341,161.2563134,8.770183676,0.023440088
2020-w48,3583.034527,791.0720051,91.74549305,2.374508177
2020-w49,19209.16156,4026.279355,506.4296497,20.77534867
2020-w50,96913.23631,19753.43189,2549.724819,120.7489006
2020-w51,449270.2633,84827.58614,11728.65886,614.8285909
2020-w52,1167579.286,188585.5285,29905.81636,1826.173867
2021-w00,1616197.817,236020.5654,40754.5453,2743.686235
2021-w01,3718622.959,325091.799,83256.85317,9357.0566
2021-w02,5831991.684,324034.5663,103592.3919,22350.33291
2021-w03,7372258.918,258865.4572,105782.2311,39470.39101
2021-w04,8351054.611,170546.0214,91656.8726,56579.43647
2021-w05,8937880.965,103868.3929,68606.34796,70840.49852
2021-w06,9279976.708,61051.36261,46371.27727,81370.66585
2021-w07,9476103.032,35191.85456,29329.01404,88521.76013
2021-w08,9587173.813,20015.35626,17729.06888,93097.19216
2021-w09,9649438.507,11261.33282,10379.85797,95900.04133
2021-w10,9684036.786,6277.384696,5937.897496,97562.31635
2021-w11,9703115.316,3471.014087,3339.132927,98524.32213
2021-w12,9713567.015,1905.936326,1853.758372,99070.7459
2021-w13,9719261.063,1040.375596,1019.152954,99376.67513
2021-w14,9722348.848,565.0910923,556.1462972,99546.05332
2021-w15,9724016.924,305.677756,301.7515044,99639.01684
2021-w16,9724915.243,164.7963429,162.9997973,99689.69413
2021-w17,9725397.797,88.60184414,87.74754626,99717.17318
2021-w18,9725656.486,47.53111112,47.11143215,99732.01126
2021-w19,9725794.937,25.45318507,25.24169005,99739.99732
2021-w20,9725868.94,13.61099749,13.50239681,99744.28451
2021-w21,9725908.455,7.270211788,7.213709004,99746.5814
2021-w22,9725922.087,3.879849186,3.850191049,99747.37558